"No.","Time","Source","Destination","Protocol","Length","Info"
"467","0.110871","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=11980 Ack=2444 Win=32419 Len=11"
"468","0.000860","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=11991 Ack=2444 Win=32419 Len=15"
"473","0.024155","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12006 Ack=2481 Win=32382 Len=42"
"475","0.024447","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12048 Ack=2507 Win=32356 Len=42"
"476","0.093619","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=12090 Ack=2507 Win=32356 Len=31"
"478","0.001381","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12121 Ack=2507 Win=32356 Len=50"
"479","0.029153","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=12171 Ack=2507 Win=32356 Len=11"
"481","0.000835","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=12182 Ack=2507 Win=32356 Len=15"
"485","0.001463","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12197 Ack=2544 Win=32319 Len=42"
"486","0.009623","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12239 Ack=2544 Win=32319 Len=50"
"489","0.027104","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=12289 Ack=2575 Win=32288 Len=15"
"490","0.174175","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12304 Ack=2575 Win=32288 Len=50"
"493","0.025211","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12354 Ack=2601 Win=32262 Len=42"
"494","0.115041","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12396 Ack=2601 Win=32262 Len=50"
"497","0.025886","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12446 Ack=2627 Win=32236 Len=42"
"498","0.124650","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12488 Ack=2627 Win=32236 Len=50"
"501","0.022230","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12538 Ack=2627 Win=32236 Len=50"
"502","0.004175","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12588 Ack=2653 Win=32210 Len=42"
"504","0.010835","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=12630 Ack=2653 Win=32210 Len=11"
"505","0.000851","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=12641 Ack=2653 Win=32210 Len=15"
"509","0.001492","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12656 Ack=2664 Win=32199 Len=50"
"511","0.025500","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12706 Ack=2690 Win=32173 Len=42"
"513","0.023583","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12748 Ack=2716 Win=32147 Len=42"
"514","0.039894","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12790 Ack=2716 Win=32147 Len=50"
"517","0.026016","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=12840 Ack=2742 Win=32121 Len=42"
"518","0.120464","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=12882 Ack=2742 Win=32121 Len=50"
"520","0.001343","206.127.152.131","192.168.0.10","TCP","105","15152  >  49209 [PSH, ACK] Seq=12932 Ack=2742 Win=32121 Len=51"
"521","0.001415","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=12983 Ack=2742 Win=32121 Len=31"
"524","0.023575","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13014 Ack=2768 Win=32095 Len=42"
"526","0.023019","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=13056 Ack=2768 Win=32095 Len=11"
"527","0.000886","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=13067 Ack=2768 Win=32095 Len=15"
"532","0.001472","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13082 Ack=2805 Win=32058 Len=42"
"535","0.025045","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=13124 Ack=2836 Win=32027 Len=15"
"538","0.007137","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13139 Ack=2862 Win=32001 Len=42"
"539","0.017972","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13181 Ack=2888 Win=31975 Len=42"
"542","0.026164","206.127.152.131","192.168.0.10","TCP","182","15152  >  49209 [PSH, ACK] Seq=13223 Ack=2919 Win=31944 Len=128"
"543","0.003165","206.127.152.131","192.168.0.10","TCP","167","15152  >  49209 [PSH, ACK] Seq=13351 Ack=2919 Win=31944 Len=113"
"547","0.281155","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=13464 Ack=2945 Win=31918 Len=11"
"548","0.000861","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=13475 Ack=2945 Win=31918 Len=15"
"554","0.010066","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13490 Ack=2982 Win=31881 Len=42"
"555","0.013575","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13532 Ack=3008 Win=31855 Len=42"
"558","0.024289","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13574 Ack=3034 Win=31829 Len=42"
"560","0.025344","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13616 Ack=3060 Win=31803 Len=42"
"561","0.052497","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=13658 Ack=3060 Win=31803 Len=31"
"563","0.001313","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=13689 Ack=3060 Win=31803 Len=50"
"565","0.025495","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13739 Ack=3086 Win=31777 Len=42"
"566","0.038678","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=13781 Ack=3086 Win=31777 Len=50"
"568","0.171506","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=13831 Ack=3086 Win=31777 Len=11"
"569","0.000838","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=13842 Ack=3086 Win=31777 Len=15"
"572","0.028666","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=13857 Ack=3097 Win=31766 Len=50"
"574","0.024234","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=13907 Ack=3128 Win=31735 Len=15"
"575","0.133069","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=13922 Ack=3128 Win=31735 Len=50"
"578","0.024546","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=13972 Ack=3154 Win=31709 Len=42"
"579","0.002148","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14014 Ack=3154 Win=31709 Len=50"
"581","0.202448","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14064 Ack=3154 Win=31709 Len=50"
"583","0.024787","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14114 Ack=3180 Win=31683 Len=42"
"584","0.095326","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14156 Ack=3180 Win=31683 Len=50"
"586","0.155652","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=14206 Ack=3180 Win=31683 Len=11"
"587","0.000917","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=14217 Ack=3180 Win=31683 Len=15"
"591","0.013881","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14232 Ack=3191 Win=31672 Len=50"
"592","0.011563","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14282 Ack=3217 Win=31646 Len=42"
"594","0.191338","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14324 Ack=3217 Win=31646 Len=50"
"595","0.001470","206.127.152.131","192.168.0.10","TCP","105","15152  >  49209 [PSH, ACK] Seq=14374 Ack=3217 Win=31646 Len=51"
"597","0.001664","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=14425 Ack=3217 Win=31646 Len=31"
"600","0.025067","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14456 Ack=3243 Win=31620 Len=42"
"604","0.026001","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14498 Ack=3269 Win=31594 Len=42"
"606","0.012379","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=14540 Ack=3269 Win=31594 Len=11"
"607","0.001107","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=14551 Ack=3269 Win=31594 Len=15"
"612","0.024781","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14566 Ack=3306 Win=31557 Len=42"
"613","0.053513","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14608 Ack=3306 Win=31557 Len=50"
"615","0.203321","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14658 Ack=3306 Win=31557 Len=50"
"616","0.001396","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=14708 Ack=3306 Win=31557 Len=23"
"621","0.025819","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14731 Ack=3332 Win=31531 Len=42"
"622","0.095875","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=14773 Ack=3332 Win=31531 Len=11"
"625","0.000305","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=14784 Ack=3332 Win=31531 Len=15"
"626","0.001435","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=14799 Ack=3332 Win=31531 Len=23"
"628","0.001578","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=14822 Ack=3332 Win=31531 Len=23"
"631","0.001460","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14845 Ack=3369 Win=31494 Len=42"
"634","0.024472","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=14887 Ack=3395 Win=31468 Len=42"
"635","0.016484","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=14929 Ack=3395 Win=31468 Len=31"
"637","0.001309","206.127.152.131","192.168.0.10","TCP","93","15152  >  49209 [PSH, ACK] Seq=14960 Ack=3395 Win=31468 Len=39"
"638","0.001458","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=14999 Ack=3395 Win=31468 Len=50"
"640","0.200566","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15049 Ack=3395 Win=31468 Len=50"
"642","0.026121","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15099 Ack=3421 Win=31442 Len=42"
"643","0.120950","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15141 Ack=3421 Win=31442 Len=50"
"645","0.108907","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=15191 Ack=3421 Win=31442 Len=11"
"646","0.000412","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=15202 Ack=3421 Win=31442 Len=15"
"651","0.001651","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15217 Ack=3458 Win=31405 Len=42"
"652","0.018017","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15259 Ack=3458 Win=31405 Len=50"
"654","0.203527","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15309 Ack=3458 Win=31405 Len=50"
"656","0.024951","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15359 Ack=3484 Win=31379 Len=42"
"657","0.102583","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15401 Ack=3484 Win=31379 Len=50"
"660","0.024751","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15451 Ack=3510 Win=31353 Len=42"
"661","0.003388","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15493 Ack=3510 Win=31353 Len=50"
"663","0.202904","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15543 Ack=3510 Win=31353 Len=50"
"666","0.016776","206.127.152.131","192.168.0.10","TCP","77","15152  >  49209 [PSH, ACK] Seq=15593 Ack=3510 Win=31353 Len=23"
"667","0.000877","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=15616 Ack=3510 Win=31353 Len=11"
"669","0.000984","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=15627 Ack=3510 Win=31353 Len=15"
"672","0.001451","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15642 Ack=3543 Win=31320 Len=42"
"673","0.095874","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15684 Ack=3554 Win=32768 Len=50"
"675","0.001391","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=15734 Ack=3554 Win=32768 Len=50"
"676","0.001643","206.127.152.131","192.168.0.10","TCP","105","15152  >  49209 [PSH, ACK] Seq=15784 Ack=3554 Win=32768 Len=51"
"678","0.000995","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=15835 Ack=3554 Win=32768 Len=31"
"680","0.023083","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=15866 Ack=3561 Win=32761 Len=11"
"682","0.024585","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15877 Ack=3587 Win=32735 Len=42"
"684","0.026640","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15919 Ack=3613 Win=32709 Len=42"
"687","0.025320","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=15961 Ack=3639 Win=32683 Len=42"
"691","0.004448","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16003 Ack=3670 Win=32652 Len=15"
"692","0.017512","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=16018 Ack=3670 Win=32652 Len=11"
"694","0.000832","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16029 Ack=3670 Win=32652 Len=15"
"695","0.001409","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16044 Ack=3696 Win=32626 Len=42"
"700","0.026427","206.127.152.131","192.168.0.10","TCP","182","15152  >  49209 [PSH, ACK] Seq=16086 Ack=3738 Win=32584 Len=128"
"701","0.002430","206.127.152.131","192.168.0.10","TCP","167","15152  >  49209 [PSH, ACK] Seq=16214 Ack=3738 Win=32584 Len=113"
"705","0.234542","206.127.152.131","192.168.0.10","TCP","93","15152  >  49209 [PSH, ACK] Seq=16327 Ack=3764 Win=32558 Len=39"
"707","0.082487","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=16366 Ack=3764 Win=32558 Len=11"
"708","0.000841","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16377 Ack=3764 Win=32558 Len=15"
"714","0.001440","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16392 Ack=3801 Win=32521 Len=42"
"715","0.017576","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16434 Ack=3827 Win=32495 Len=42"
"718","0.024265","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16476 Ack=3853 Win=32469 Len=42"
"722","0.003925","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16518 Ack=3879 Win=32443 Len=42"
"723","0.020955","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16560 Ack=3905 Win=32417 Len=42"
"726","0.023721","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16602 Ack=3931 Win=32391 Len=42"
"728","0.025854","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16644 Ack=3957 Win=32365 Len=42"
"730","0.091234","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=16686 Ack=3957 Win=32365 Len=11"
"733","0.000161","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16697 Ack=3957 Win=32365 Len=15"
"735","0.001492","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16712 Ack=3994 Win=32328 Len=42"
"738","0.023090","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16754 Ack=4025 Win=32297 Len=15"
"740","0.024310","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16769 Ack=4051 Win=32271 Len=42"
"743","0.025819","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16811 Ack=4077 Win=32245 Len=42"
"744","0.125997","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=16853 Ack=4077 Win=32245 Len=11"
"746","0.000857","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=16864 Ack=4077 Win=32245 Len=15"
"750","0.001399","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16879 Ack=4114 Win=32208 Len=42"
"753","0.024214","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16921 Ack=4140 Win=32182 Len=42"
"755","0.024133","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=16963 Ack=4166 Win=32156 Len=42"
"758","0.024577","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17005 Ack=4192 Win=32130 Len=42"
"760","0.025203","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17047 Ack=4218 Win=32104 Len=42"
"762","0.025736","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17089 Ack=4244 Win=32078 Len=42"
"764","0.024787","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17131 Ack=4270 Win=32052 Len=42"
"766","0.025141","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17173 Ack=4296 Win=32026 Len=42"
"767","0.095195","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=17215 Ack=4296 Win=32026 Len=11"
"769","0.000834","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=17226 Ack=4296 Win=32026 Len=15"
"771","0.066045","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=17241 Ack=4307 Win=32015 Len=15"
"772","0.001364","206.127.152.131","192.168.0.10","TCP","93","15152  >  49209 [PSH, ACK] Seq=17256 Ack=4307 Win=32015 Len=39"
"775","0.023994","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17295 Ack=4333 Win=31989 Len=42"
"778","0.024770","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17337 Ack=4359 Win=31963 Len=42"
"780","0.023373","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17379 Ack=4385 Win=31937 Len=42"
"783","0.024652","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17421 Ack=4411 Win=31911 Len=42"
"785","0.020927","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=17463 Ack=4411 Win=31911 Len=11"
"786","0.000881","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=17474 Ack=4411 Win=31911 Len=15"
"791","0.024600","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17489 Ack=4448 Win=31874 Len=42"
"795","0.010231","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17531 Ack=4474 Win=31848 Len=42"
"796","0.015478","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17573 Ack=4500 Win=31822 Len=42"
"799","0.024541","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17615 Ack=4526 Win=31796 Len=42"
"801","0.023651","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17657 Ack=4552 Win=31770 Len=42"
"803","0.024605","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17699 Ack=4578 Win=31744 Len=42"
"805","0.001893","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=17741 Ack=4578 Win=31744 Len=11"
"806","0.000921","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=17752 Ack=4578 Win=31744 Len=15"
"809","0.003108","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17767 Ack=4604 Win=31718 Len=42"
"813","0.023890","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17809 Ack=4641 Win=31681 Len=42"
"815","0.025976","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17851 Ack=4667 Win=31655 Len=42"
"817","0.025407","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=17893 Ack=4693 Win=31629 Len=42"
"818","0.075399","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=17935 Ack=4693 Win=31629 Len=31"
"820","0.001614","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=17966 Ack=4693 Win=31629 Len=50"
"821","0.170011","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=18016 Ack=4693 Win=31629 Len=11"
"823","0.000858","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=18027 Ack=4693 Win=31629 Len=15"
"825","0.010317","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=18042 Ack=4693 Win=31629 Len=31"
"826","0.001475","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18073 Ack=4693 Win=31629 Len=50"
"828","0.001704","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18123 Ack=4693 Win=31629 Len=50"
"831","0.001473","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=18173 Ack=4730 Win=31592 Len=42"
"832","0.167537","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18215 Ack=4730 Win=31592 Len=50"
"834","0.001336","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18265 Ack=4730 Win=31592 Len=50"
"836","0.024820","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=18315 Ack=4756 Win=31566 Len=42"
"837","0.074855","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18357 Ack=4756 Win=31566 Len=50"
"839","0.001373","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18407 Ack=4756 Win=31566 Len=50"
"841","0.003128","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18457 Ack=4756 Win=31566 Len=50"
"842","0.001424","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18507 Ack=4756 Win=31566 Len=50"
"845","0.025818","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=18557 Ack=4782 Win=31540 Len=42"
"846","0.022413","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18599 Ack=4782 Win=31540 Len=50"
"848","0.001265","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18649 Ack=4782 Win=31540 Len=50"
"850","0.024764","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=18699 Ack=4808 Win=31514 Len=42"
"852","0.024963","206.127.152.131","192.168.0.10","TCP","96","15152  >  49209 [PSH, ACK] Seq=18741 Ack=4834 Win=31488 Len=42"
"853","0.077394","206.127.152.131","192.168.0.10","TCP","65","15152  >  49209 [PSH, ACK] Seq=18783 Ack=4834 Win=31488 Len=11"
"855","0.000855","206.127.152.131","192.168.0.10","TCP","69","15152  >  49209 [PSH, ACK] Seq=18794 Ack=4834 Win=31488 Len=15"
"857","0.036898","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18809 Ack=4845 Win=31477 Len=50"
"858","0.001416","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18859 Ack=4845 Win=31477 Len=50"
"860","0.202004","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18909 Ack=4845 Win=31477 Len=50"
"861","0.001423","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=18959 Ack=4845 Win=31477 Len=50"
"863","0.201038","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=19009 Ack=4845 Win=31477 Len=50"
"864","0.001398","206.127.152.131","192.168.0.10","TCP","105","15152  >  49209 [PSH, ACK] Seq=19059 Ack=4845 Win=31477 Len=51"
"866","0.001935","206.127.152.131","192.168.0.10","TCP","85","15152  >  49209 [PSH, ACK] Seq=19110 Ack=4845 Win=31477 Len=31"
"867","0.001438","206.127.152.131","192.168.0.10","TCP","104","15152  >  49209 [PSH, ACK] Seq=19141 Ack=4845 Win=31477 Len=50"
